ticker,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,flags
MA,2025,Mr. Miebach,35422518,35653703,128447096,165775897,165,203,-38.0,False,1.01,CEO_TRANSITION
DE,2025,Mr. May,27925424,14950301,122662592,161587740,217.99,221.76,-3.8,False,0.54,
SCHW,2025,Walter W. Bettinger II,18755222,27233933,115340258,160323422,201,231,-30.0,False,1.45,
JNJ,2025,J. Duato,32758111,68275237,125299157,157425228,151.55,188.57,-37.0,False,2.08,CEO_TRANSITION
T,2025,John Stankey,29906872,43038808,130504279,155080641,155,213,-58.0,False,1.44,
EMR,2025,S. L. Karsanbhai,21240262,37115801,105704644,154099861,225.78,217.50,8.3,True,1.75,CEO_TRANSITION
AMGN,2025,Mr. Bradway,24693120,49378868,114886152,149840535,166.63,192.38,-25.8,False,2.0,
NKE,2025,,28442712,-10924243,178194134,145698528,65.09,81.16,-16.1,False,-0.38,CEO_TRANSITION
MMM,2025,William M. Brown,21005009,35738149,108065582,140542766,132,173,-41.0,False,1.7,CEO_TRANSITION
DUK,2025,,13652630,15135448,101569918,138085614,156,153,3.0,True,1.11,CEO_TRANSITION
MRK,2025,Mr. Davis,20797845,15760172,111826330,137381373,158.08,198.33,-40.2,False,0.76,CEO_TRANSITION
MCD,2025,Mr. Kempczinski,20574525,17916531,95723435,137246381,160,173,-13.0,False,0.87,
ISRG,2025,,20997480,26375695,88142716,134646433,287.42,102.99,184.4,True,1.26,CEO_TRANSITION
PEP,2025,Ramon L. Laguarta,23903545,1401981,140519351,133215965,112.86,111.09,1.8,True,0.06,
LOW,2026,Mr. Ellison,21581889,24847325,95252794,132114182,175.63,164.12,11.5,True,1.15,
ACN,2025,Ms. Sweet,29641903,16552177,142894454,131536242,117,251,-134.0,False,0.56,
TXN,2025,Mr. Ilan,22669509,17392255,119647380,131276563,121.78,258.38,-136.6,False,0.77,CEO_TRANSITION
PFE,2025,Bourla,27585301,33705501,131166764,130918964,86,187,-101.0,False,1.22,
META,2025,Mark Zuckerberg,25125904,25125904,130679225,130679225,243.32,445.33,-202.0,False,1.0,
ADBE,2025,Shantanu Narayen,51173935,-17392652,216225731,129912920,67.11,187.96,-120.9,False,-0.34,
VZ,2025,,34311016,34137740,153951000,127209018,93.65,213.25,-119.6,False,0.99,CEO_TRANSITION
ABT,2025,Robert B. Ford,24198660,26833361,116880944,123445135,125,148,-23.0,False,1.11,
LMT,2025,Taiclet,23453308,19116609,112942753,122732910,156.36,230.49,-74.1,False,0.82,
HON,2025,Vimal Kapur,20381435,10865674,127627344,121185625,107.80,189.10,-81.3,False,0.53,CEO_TRANSITION
USB,2025,,19054648,21253618,113309237,120731827,142,196,-54.0,False,1.12,CEO_TRANSITION
CMCSA,2025,Mr. Roberts,35148413,13692402,170532132,111062744,65.57,96.29,-30.7,False,0.39,
MDLZ,2025,Mr. Van de Put,24516114,8052850,101893009,107543901,104.41,115.32,-10.9,False,0.33,
CRM,2026,Marc Benioff,49379252,-49207128,252154299,107153714,94.12,256.61,-162.5,False,-1.0,CEO_TRANSITION
HD,2026,,16191127,12120694,82885459,106709911,156.3,164.1,-7.8,False,0.75,CEO_TRANSITION
BA,2025,,23581389,31921725,133555937,105344608,101,230,-129.0,False,1.35,CEO_TRANSITION
FDX,2025,Mr. Subramaniam,12873691,7273193,63427708,104726381,182.43,175.85,6.6,True,0.56,
COST,2025,Ron M. Vachris,13932597,15633675,77792653,104726120,293.59,173.48,120.1,True,1.12,CEO_TRANSITION
MO,2025,"William F. Gifford, Jr",24561180,27713212,98705092,100060146,208.24,135.97,72.3,True,1.13,
CL,2025,Noel Wallace,16478196,12342588,81755201,92543247,104.0,111.8,-7.8,False,0.75,
UPS,2025,,22878788,10260804,116918910,90940092,74.69,136.89,-62.2,False,0.45,
MDT,2025,,21240058,26085386,100436884,90291009,97.82,148.62,-50.8,False,1.23,CEO_TRANSITION
DHR,2025,Rainer Blair,23795280,17340170,104154020,89665494,119,148,-29.0,False,0.73,
BMY,2025,Dr. Chris Boerner,21879919,16862134,108628642,83105505,105,198,-93.0,False,0.77,CEO_TRANSITION
UNP,2025,Mr. Vena,20296362,16803878,84360940,73502570,124,149,-25.0,False,0.83,CEO_TRANSITION
BRK-B,2025,Warren E. Buffett,389488,389488,1982987,1982987,217.01,234.62,-17.6,False,1.0,
